id,title,author_person_id,publisher,format,year,store_link,cover_link,created_date,updated_date,,,
72,History,0,The Hoitsugan Dojo,WEB,2014-01-06,http://www.hoitsugandojo.com,,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
73,Hoitsugan Seminars 2005,0,The Shotokan Way,WEB,2014-01-06,http://www.theshotokanway.com/hoitsuganseminars200,,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
74,Hidetaka Nishiyama,0,Wikipedia,WEB,2014-01-07,http://en.wikipedia.org/wiki/Hidetaka_Nishiyama#ci,,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
75,A Short Biography of Master Hidetaka Nishiyama,0,E/B Productions,WEB,2014-01-07,http://www.karatevid.com/article-nishbio.htm,,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
76,Nishiyama: The Legacy of an Eternal Student,0,The Shotokan Way,WEB,2014-01-07,http://www.theshotokanway.com/nishiyamaarticle.htm,,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
78,"""Smith, Mason. """"Smoke from an Urbane Volcano""""""",0,<i>Sports Illustrated</i>,ARTICLE,1975-08-18,http://sportsillustrated.cnn.com/vault/article/mag,,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
79,Hidetaka Nishiyama Founder,0,International Traditional,WEB,2014-01-07,http://www.itkf.org/founder.php,,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
80,Master Hidetaka Nishiyama,0,International San Ten Kar,WEB,2014-01-07,http://mariposa.yosemite.net/ISKA/ISKANishiyama.ht,,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
81,"""Ingber, Lester. """"E-mail Interview"""" by Rob Redmond""",0,Lester Ingber's Archive.,WEBARTICLE,1996-11-05,http://www.ingber.com/karate.html,,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
82,Master Hidetaka Nishiyama Honored by Capitol Flag ,0,E/B Productions.,WEB,2014-01-07,http://www.karatevid.com/article-nishNews.htm,,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
83,Traditional Karate Coach's Manual,4,International Traditional,BOOK,1989-01-01,http://www.amazon.com/Traditional-karate-coachs-Hi,http://g-ecx.images-amazon.com/images/G/01/x-site/,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
84,Channan: Heart of the Heians by Elmar Schmeisser,0,Trafford Publishing,BOOK,2006-01-01,http://www.amazon.com/Channan-Heians-Elmar-T-Schme,http://ecx.images-amazon.com/images/I/417tUxhT0zL.,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
85,Kata: The Folk Dances of Shotokan by Rob Redmond,0,Rob Redmond,BOOK,2008-01-01,http://www.lulu.com/shop/rob-redmond/kata-the-folk,http://static.lulu.com/browse/product_thumbnail.ph,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
86,Shotokan Mysteries by Kousaku Yokota,0,Xlibris,BOOK,2013-01-01,http://www.amazon.com/Shotokan-Mysteries-4y-Su-Ia-,http://ecx.images-amazon.com/images/I/51w4dgUiCXL.,02/02/20 07:30 PM,02/02/20 07:30 PM,,,
86,Shotokan Mysteries by Kousaku Yokota,0,Xlibris,BOOK,2013,2013-01-01,http://www.amazon.com/Shotokan-Mysteries-4y-Su-Ia-Answers/dp/1483612392/ref=as_li_ss_tl?ie=UTF8&camp=1789&creative=390957&creativeASIN=1483612384&linkCode=as2&tag=shotolibra-20,"http://ecx.images-amazon.com/images/I/51w4dgUiCXL._SY344_BO1,204,203,200_.jpg",,,,
